,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Ticket Type,Passenger Status
63198,61UIh4,Anne,Mellsop,Female,70,Egypt,Sahiwal Airport,PK,Pakistan,AS,Asia,3/9/2022,SWN,Anne Mellsop,Delayed,Business,On Time
63199,eptRS4,Eduard,Lightning,Male,53,China,Baidoa Airport,SO,Somalia,AF,Africa,9/28/2022,BIB,Eduard Lightning,Cancelled,Business,On Time
63200,KCfB1x,Benedict,Cussen,Male,77,Albania,Northeast Florida Regional Airport,US,United States,NAM,North America,7/6/2022,UST,Benedict Cussen,Delayed,Business,On Time
63201,uhF0FI,Lacy,Bartoszinski,Female,54,Ireland,La Ronge Airport,CA,Canada,NAM,North America,12/1/2022,YVC,Lacy Bartoszinski,On Time,Business,On Time
63202,U8L8in,Frederic,Fathers,Male,17,Indonesia,Bornholm Airport,DK,Denmark,EU,Europe,2/10/2022,RNN,Frederic Fathers,Delayed,Business,On Time
63203,T7TRNR,Janela,Scutt,Female,77,Philippines,Wunnumin Lake Airport,CA,Canada,NAM,North America,7/17/2022,WNN,Janela Scutt,Cancelled,Business,On Time
63204,g5j3s4,Delcine,Piccard,Female,7,Philippines,Bogande Airport,BF,Burkina Faso,AF,Africa,12/13/2022,XBG,Delcine Piccard,Delayed,Business,On Time
63205,RvnY3n,Tamarra,Seignior,Female,54,Malaysia,Calvi-Sainte-Catherine Airport,FR,France,EU,Europe,10/10/2022,CLY,Tamarra Seignior,Cancelled,Business,On Time
63206,YjrDGT,Tybalt,Mace,Male,7,Brazil,Coronation Airport,CA,Canada,NAM,North America,8/18/2022,YCT,Tybalt Mace,On Time,Business,On Time
63207,pIKL7c,Joachim,McDermid,Male,55,Russia,Sabzevar National Airport,IR,"Iran, Islamic Republic of",AS,Asia,2/26/2022,AFZ,Joachim McDermid,Delayed,Business,On Time
63208,IMxBrX,Verna,Weyman,Female,22,Thailand,Annecy-Haute-Savoie-Mont Blanc Airport,FR,France,EU,Europe,5/3/2022,NCY,Verna Weyman,On Time,Business,On Time
63209,54Kp8x,Galen,Blyth,Male,83,Canada,Gorge Harbour Seaplane Base,CA,Canada,NAM,North America,2/18/2022,YGE,Galen Blyth,On Time,Business,On Time
63210,eIKJMW,Merrile,Postgate,Female,42,Indonesia,Cachoeiro do Itapemirim Airport,BR,Brazil,SAM,South America,12/1/2022,CDI,Merrile Postgate,On Time,Business,On Time
63211,GX2Mmz,Cairistiona,Eichmann,Female,58,China,Newport News Williamsburg International Airport,US,United States,NAM,North America,9/5/2022,PHF,Cairistiona Eichmann,Cancelled,Business,On Time
63212,ZHeVSM,Salmon,Boscott,Male,26,Philippines,Tallahassee Regional Airport,US,United States,NAM,North America,3/8/2022,TLH,Salmon Boscott,On Time,Business,On Time
63213,y4oCpN,Gram,Roebuck,Male,3,France,Gimli Industrial Park Airport,CA,Canada,NAM,North America,7/29/2022,YGM,Gram Roebuck,Cancelled,Business,On Time
