,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Ticket Type,Passenger Status
2133,VnAb0b,Aharon,Tinkler,Male,84,Colombia,Taganrog Yuzhny Airport,RU,Russian Federation,EU,Europe,2/8/2022,TGK,Aharon Tinkler,Cancelled,Business,On Time
2134,GUSx44,Haywood,Scranny,Male,48,Mexico,Barkly Downs Airport,AU,Australia,OC,Oceania,2/8/2022,BKP,Haywood Scranny,Cancelled,Business,On Time
2135,bSlTxd,Bard,Towers,Male,67,Czech Republic,Naples Municipal Airport,US,United States,NAM,North America,3/10/2022,APF,Bard Towers,On Time,Business,On Time
2136,fKbIjm,Loralyn,Janu,Female,25,Colombia,Koolatah Airport,AU,Australia,OC,Oceania,1/4/2022,KOH,Loralyn Janu,Delayed,Business,On Time
2137,qYICmi,Zonda,Dwire,Female,88,Indonesia,Marigot Seaplane Base,MF,Saint Martin (French part),NAM,North America,9/23/2022,MSB,Zonda Dwire,Cancelled,Business,On Time
2138,TPGZRQ,Enrika,Putley,Female,52,Czech Republic,Kairuku Airport,PG,Papua New Guinea,OC,Oceania,2/11/2022,RKU,Enrika Putley,Cancelled,Business,On Time
2139,0rzPV2,Gail,Birbeck,Male,48,Vietnam,Dabra Airport,ID,Indonesia,AS,Asia,11/30/2022,DRH,Gail Birbeck,Cancelled,Business,On Time
2140,ebM9Ua,Josh,Griswaite,Male,12,Sweden,Jagdalpur Airport,IN,India,AS,Asia,10/22/2022,JGB,Josh Griswaite,Cancelled,Business,On Time
2141,NXXKXC,Marja,Narey,Female,70,Indonesia,Nambaiyufa Airport,PG,Papua New Guinea,OC,Oceania,3/6/2022,NBA,Marja Narey,Cancelled,Business,On Time
2142,FngxjU,Alister,Tourmell,Male,34,Russia,RAF Upper Heyford,GB,United Kingdom,EU,Europe,7/12/2022,UHF,Alister Tourmell,Cancelled,Business,On Time
2143,bFXsB7,Tito,MacPhail,Male,8,Philippines,Geladi Airport,ET,Ethiopia,AF,Africa,4/20/2022,GLC,Tito MacPhail,Cancelled,Business,On Time
2144,ARsToz,Ashlan,Danzelman,Female,57,Brazil,Aberdeen Dyce Airport,GB,United Kingdom,EU,Europe,6/2/2022,ABZ,Ashlan Danzelman,Delayed,Business,On Time
2145,Mwnl2a,Heinrick,Levi,Male,19,Japan,Obbia Airport,SO,Somalia,AF,Africa,3/12/2022,CMO,Heinrick Levi,Cancelled,Business,On Time
2146,QbLwlx,Aristotle,McGebenay,Male,79,Indonesia,Ürümqi Diwopu International Airport,CN,China,AS,Asia,9/24/2022,URC,Aristotle McGebenay,On Time,Business,On Time
2147,b2aSnv,Gabriell,Taylerson,Female,9,Indonesia,Herrera Airport,CO,Colombia,SAM,South America,6/16/2022,HRR,Gabriell Taylerson,On Time,Business,On Time
2148,kAmiiU,Charlotta,MacMichael,Female,50,China,Itokama Airport,PG,Papua New Guinea,OC,Oceania,12/30/2022,ITK,Charlotta MacMichael,Delayed,Business,On Time
2149,Cgd104,Stephana,Hartfield,Female,27,China,Santa Bárbara del Zulia Airport,VE,"Venezuela, Bolivarian Republic of",SAM,South America,3/1/2022,STB,Stephana Hartfield,Delayed,Business,On Time
2150,5eEeVL,Filide,Melbury,Female,22,Mauritius,Connemara Regional Airport,IE,Ireland,EU,Europe,9/1/2022,NNR,Filide Melbury,On Time,Business,On Time
2151,dCrMeW,Leta,Galgey,Female,56,Indonesia,Incheon International Airport,KR,"Korea, Republic of",AS,Asia,11/26/2022,ICN,Leta Galgey,Cancelled,Business,On Time
2152,NOJDWc,Julita,Jedrych,Female,16,Malaysia,Mirassol Airport,BR,Brazil,SAM,South America,1/13/2022,0,Julita Jedrych,Cancelled,Business,On Time
2153,XXrklJ,Cheryl,Torald,Female,40,Portugal,Soroti Airport,UG,Uganda,AF,Africa,2/13/2022,SRT,Cheryl Torald,Cancelled,Business,On Time
