,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Ticket Type,Passenger Status
6719,B8oXhU,Karee,McGahy,Female,77,Denmark,Rocky Mountain House Airport,CA,Canada,NAM,North America,3/10/2022,YRM,Karee McGahy,Cancelled,Business,On Time
56720,wPIGqx,Bennie,Dufoure,Female,29,China,Djerba Zarzis International Airport,TN,Tunisia,AF,Africa,6/16/2022,DJE,Bennie Dufoure,Delayed,Business,On Time
56721,aIOvoJ,Kimbell,Deeble,Male,90,Indonesia,Town Airstrip,BZ,Belize,NAM,North America,12/27/2022,CYD,Kimbell Deeble,Cancelled,Business,On Time
56722,yfk1qC,Myrtle,Webster,Female,61,China,Santiago Perez Airport,CO,Colombia,SAM,South America,11/3/2022,AUC,Myrtle Webster,Delayed,Business,On Time
56723,P6pDXA,Brenna,Sellen,Female,64,Indonesia,La Grande-3 Airport,CA,Canada,NAM,North America,6/6/2022,YAR,Brenna Sellen,On Time,Business,On Time
56724,zn3dAB,Brannon,Chinnock,Male,88,Russia,Monbetsu Airport,JP,Japan,AS,Asia,8/10/2022,MBE,Brannon Chinnock,On Time,Business,On Time
56725,NnHzU7,Sarine,Wheater,Female,1,Bangladesh,Keflavik International Airport,IS,Iceland,EU,Europe,12/26/2022,KEF,Sarine Wheater,Cancelled,Business,On Time
56726,V2sqBq,Teresita,Campos,Female,48,Peru,Estadual Arthur Siqueira Airport,BR,Brazil,SAM,South America,3/1/2022,BJP,Teresita Campos,Cancelled,Business,On Time
56727,3ABjUq,Sigfrid,MacClenan,Male,31,China,Yasawa Island Airport,FJ,Fiji,OC,Oceania,1/29/2022,YAS,Sigfrid MacClenan,Cancelled,Business,On Time
56728,OYKEv8,Brena,Gask,Female,59,Bulgaria,City of Colorado Springs Municipal Airport,US,United States,NAM,North America,9/30/2022,COS,Brena Gask,Delayed,Business,On Time
56729,mnmFpo,Trudie,Larderot,Female,49,Sweden,Springdale Municipal Airport,US,United States,NAM,North America,6/10/2022,SPZ,Trudie Larderot,Delayed,Business,On Time
56730,vweI5H,Verina,Fayerman,Female,80,France,Summerside Airport,CA,Canada,NAM,North America,7/7/2022,YSU,Verina Fayerman,Delayed,Business,On Time
56731,74iwYe,Ellissa,Lawranson,Female,4,Hungary,Tabriz International Airport,IR,"Iran, Islamic Republic of",AS,Asia,3/6/2022,TBZ,Ellissa Lawranson,On Time,Business,On Time
56732,oAz1NY,Maureene,Armitage,Female,10,China,Ossima Airport,PG,Papua New Guinea,OC,Oceania,12/28/2022,OSG,Maureene Armitage,Delayed,Business,On Time
56733,2XwBiQ,Cull,Renard,Male,17,China,Turaif Domestic Airport,SA,Saudi Arabia,AS,Asia,4/12/2022,TUI,Cull Renard,Delayed,Business,On Time
56734,X0HL7W,Raeann,Anfusso,Female,70,Albania,Chicago Midway International Airport,US,United States,NAM,North America,11/15/2022,MDW,Raeann Anfusso,On Time,Business,On Time
56735,1vHv9d,Findlay,Murricanes,Male,70,Philippines,Limbang Airport,MY,Malaysia,AS,Asia,5/16/2022,LMN,Findlay Murricanes,On Time,Business,On Time
56736,Xi7KHG,Allys,Bowmer,Female,3,Serbia,Xilinhot Airport,CN,China,AS,Asia,1/5/2022,XIL,Allys Bowmer,Delayed,Business,On Time
56737,gUCmAg,Lorne,Jeannesson,Male,23,Sweden,Kaunas International Airport,LT,Lithuania,EU,Europe,5/18/2022,KUN,Lorne Jeannesson,Cancelled,Business,On Time
56738,LX17P2,Kylynn,Panks,Female,52,China,Gimpo International Airport,KR,"Korea, Republic of",AS,Asia,7/2/2022,GMP,Kylynn Panks,Delayed,Business,On Time
56739,0qiGBK,Neils,Dubber,Male,58,Philippines,O R Tambo International,ZA,South Africa,AF,Africa,10/21/2022,JNB,Neils Dubber,Delayed,Business,On Time
56740,bt9IAs,Julieta,Stenton,Female,66,Indonesia,Eldoret International Airport,KE,Kenya,AF,Africa,2/28/2022,EDL,Julieta Stenton,Delayed,Business,On Time
56741,eDisir,Keir,Wasson,Male,41,Kuwait,Mesa Del Rey Airport,US,United States,NAM,North America,5/28/2022,KIC,Keir Wasson,On Time,Business,On Time
56742,uz1Vzb,Currie,Hurd,Male,69,Greece,Gan International Airport,MV,Maldives,AS,Asia,4/21/2022,GAN,Currie Hurd,On Time,Business,On Time
56743,LiCHAN,My,Dumbleton,Male,36,Poland,Paso Robles Municipal Airport,US,United States,NAM,North America,1/20/2022,PRB,My Dumbleton,Cancelled,Business,On Time
56744,ahi1gr,Gunther,Silwood,Male,17,Mexico,Sumburgh Airport,GB,United Kingdom,EU,Europe,1/17/2022,LSI,Gunther Silwood,On Time,Business,On Time
56745,5Pctgi,Conchita,Reinbach,Female,4,China,Naxos Airport,GR,Greece,EU,Europe,10/22/2022,JNX,Conchita Reinbach,Delayed,Business,On Time
56746,t7LicH,De witt,Rannells,Male,85,South Africa,Kankan Airport,GN,Guinea,AF,Africa,12/25/2022,KNN,De witt Rannells,On Time,Business,On Time
56747,8z3L3a,Beulah,Yourell,Female,89,South Africa,Guanare Airport,VE,"Venezuela, Bolivarian Republic of",SAM,South America,5/24/2022,GUQ,Beulah Yourell,On Time,Business,On Time
