,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Ticket Type,Passenger Status
98398,ecQFy4,Abdul,Burgisi,Male,66,Brazil,Mukhaizna Airport,OM,Oman,AS,Asia,7/6/2022,UKH,Abdul Burgisi,Cancelled,Business,On Time
98399,1wJiUZ,Ashla,Stannas,Female,31,China,Dianópolis Airport,BR,Brazil,SAM,South America,10/19/2022,DNO,Ashla Stannas,On Time,Business,On Time
98400,j7evpL,Mame,Judd,Female,89,Colombia,Long Xuyên Airport,VN,Viet Nam,AS,Asia,8/8/2022,XLO,Mame Judd,Delayed,Business,On Time
98401,UWSpda,Nertie,Dell Casa,Female,56,Honduras,Nekemte Airport,ET,Ethiopia,AF,Africa,11/27/2022,NEK,Nertie Dell Casa,Cancelled,Business,On Time
98402,EI1X53,Alexi,Trivett,Female,38,China,Saidor Airport,PG,Papua New Guinea,OC,Oceania,4/10/2022,SDI,Alexi Trivett,On Time,Business,On Time
98403,HNv3Io,Tim,Trounce,Male,47,Finland,San Ignacio de Moxos Airport,BO,"Bolivia, Plurinational State of",SAM,South America,7/15/2022,SNM,Tim Trounce,Cancelled,Business,On Time
98404,MgfYkw,Olivier,Casassa,Male,85,China,Long Lellang Airport,MY,Malaysia,AS,Asia,12/16/2022,LGL,Olivier Casassa,Delayed,Business,On Time
98405,SvkrFE,Sheppard,Antoniutti,Male,46,Iran,Fontaine Airport,FR,France,EU,Europe,1/27/2022,BOR,Sheppard Antoniutti,On Time,Business,On Time
98406,j7aFSM,Forrest,Percival,Male,37,Russia,Kemmerer Municipal Airport,US,United States,NAM,North America,12/3/2022,EMM,Forrest Percival,Delayed,Business,On Time
98407,JIkiRf,Gisela,Baumber,Female,51,Colombia,Cape May County Airport,US,United States,NAM,North America,3/15/2022,WWD,Gisela Baumber,Delayed,Business,On Time
98408,oUkRO1,Madelyn,Wheeler,Female,66,Indonesia,Attu Heliport,GL,Greenland,EU,Europe,8/23/2022,QGQ,Madelyn Wheeler,On Time,Business,On Time
98409,4EwGNa,Sawyere,Nattrass,Male,60,Russia,Tolmachevo Airport,RU,Russian Federation,AS,Asia,10/23/2022,OVB,Sawyere Nattrass,Delayed,Business,On Time
98410,muwD7F,Wittie,Boys,Male,65,France,Jahrom Airport,IR,"Iran, Islamic Republic of",AS,Asia,8/28/2022,JAR,Wittie Boys,On Time,Business,On Time
98411,RkgfAp,Alysia,Gibbin,Female,63,China,El Troncal Airport,CO,Colombia,SAM,South America,1/26/2022,ARQ,Alysia Gibbin,Delayed,Business,On Time
98412,Z9tvMI,Celeste,McGeachie,Female,20,Netherlands,Cuatro Vientos Airport,ES,Spain,EU,Europe,7/6/2022,ECV,Celeste McGeachie,Delayed,Business,On Time
98413,AOzxha,Nessa,McGreal,Female,82,Tunisia,Sócrates Rezende Airport,BR,Brazil,SAM,South America,5/10/2022,CNV,Nessa McGreal,Cancelled,Business,On Time
98414,QUgI89,Issie,Brisson,Female,88,China,Kindu Airport,CD,"Congo, The Democratic Republic of the",AF,Africa,9/8/2022,KND,Issie Brisson,Delayed,Business,On Time
98415,aTZLPb,Wilbert,Dyett,Male,46,Colombia,Rivière-du-Loup Airport,CA,Canada,NAM,North America,12/25/2022,YRI,Wilbert Dyett,Cancelled,Business,On Time
98416,sBeLjc,Rusty,Teal,Male,56,France,Issyk-Kul International Airport,KG,Kyrgyzstan,AS,Asia,9/4/2022,IKU,Rusty Teal,Cancelled,Business,On Time
98417,cO70FL,Ardenia,Berardt,Female,80,China,Mbala Airport,ZM,Zambia,AF,Africa,5/17/2022,MMQ,Ardenia Berardt,On Time,Business,On Time
98418,AkRnI0,Odetta,Treacher,Female,23,Malaysia,Selaparang Airport,ID,Indonesia,AS,Asia,8/28/2022,AMI,Odetta Treacher,Cancelled,Business,On Time
98419,RhGsvg,Alic,Andryszczak,Male,16,Nigeria,Gallatin Field,US,United States,NAM,North America,3/31/2022,BZN,Alic Andryszczak,On Time,Business,On Time
98420,1B9fyc,Irvin,Norcutt,Male,77,Philippines,Krainiy Airport,KZ,Kazakhstan,AS,Asia,7/18/2022,BXY,Irvin Norcutt,Cancelled,Business,On Time
98421,2nhV4r,Deck,Iliff,Male,18,Indonesia,Yamaguchi Ube Airport,JP,Japan,AS,Asia,11/15/2022,UBJ,Deck Iliff,Cancelled,Business,On Time
